countryName,year,OtherSources,Waste,Industry,Residential_commercial,Transport,Agriculture,LandUseSources,Energy,
Afghanistan,1990,19705.9,2283533.6,156680.3,1169355.6,608308.9,7342709.9,181.9,943294.5,
Afghanistan,1991,18488.8,2307770.5,167032.9,939311.8,532345.8,7631027.2,181.9,1022111,12618269.9
Afghanistan,1992,15025.8,2331057.5,177420.7,618695.9,376761.6,7631442.7,181.9,542786.8,
Afghanistan,1993,14747.2,2353708.4,157502.5,595042.1,324243.5,7702741.6,181.9,548887.1,
Afghanistan,1994,13866.6,2377645,179446.6,556710,310908.6,7699138.9,181.9,537906.7,
Afghanistan,1995,14387.5,2406126.4,186452.7,592928.7,311232.7,8080447.3,181.9,495982.3,
Afghanistan,1996,14321,2436355.6,186995.6,555982.3,305551.9,8969349.8,180.1,492401.5,
Afghanistan,1997,14758.5,2468892.8,186343.1,606031.1,304954.1,9849613.5,106.7,486636.9,
Afghanistan,1998,14080.8,2512444,159971.8,607483,291832.6,10579158.9,291.8,498270.3,
Afghanistan,1999,14010.3,2579113.2,159352.3,657187.2,281240.2,11506130.5,80,528065.7,
Afghanistan,2000,13241.3,2678939.1,184378.9,545678.8,269396.6,9883894.3,635.9,549997.3,
Afghanistan,2001,12995.9,2814222,165629,429062.2,261113.7,8373494.8,217.1,558701.7,
Afghanistan,2002,14514.1,2980291.8,172404.9,456151.1,250366.5,10408524.9,0,575070.5,
Afghanistan,2003,13842.7,3163533,178972.9,468659,199947.9,10835451.1,0,584105.2,
Afghanistan,2004,14367.2,3343186,183569.7,469874.7,229991.3,10622004.6,0,621467.2,
Afghanistan,2005,15171.3,3499281.8,186767.4,517980.5,235346.5,10898121.5,0,648800.4,
Afghanistan,2006,14640.5,3668148.4,183635.5,524183.3,204550.8,10993474.3,775,663960.1,
Afghanistan,2007,15194,3836497.7,189112.8,578549.3,196936.2,10937168.8,0,684907.9,
Afghanistan,2008,15272.4,4009690.5,192889.8,597188.7,195565.2,12016865.1,840.7,704592.6,
Afghanistan,2009,15306,4184235.7,197130.4,624324.1,182518,12551796.7,0,725428,
Afghanistan,2010,15339.7,4361241.1,205671.4,650459.5,169590.9,14332619.5,0,746352.9,
Albania,1990,37381.5,247227.7,850964.4,2498406.4,721056.3,3251439.6,625615.3,3377086.6,
Albania,1991,26787.4,245162.3,464380.1,1672038.9,543714.1,2922115.4,626805.4,2366108.5,
Albania,1992,19759,247918.6,367757.6,875597.6,418427.4,2855588,628001.5,1445206.2,
Albania,1993,21872.2,255774.7,245680.1,672776.2,518094.8,3052448,629203.6,1344626.1,
Albania,1994,27736.4,262754.9,248516.1,600523,646527.8,3846980.2,630411.6,1444667.3,
Albania,1995,22680.5,261819.3,239054.1,578430.1,637622.7,3900955.6,631625.6,1140381.9,
Albania,1996,20549.8,270024.3,218693.9,703443.1,633750.4,3604401.1,621875,1030258.3,
Albania,1997,18291.3,266518.1,186406.9,605201.9,500488.5,3362202.6,640770,795765.4,
Albania,1998,26978.1,269868.9,161441.9,514176.8,754012.6,3283987.7,627243.2,873654.7,
Albania,1999,36970.5,276921.4,189130.5,987094.7,1433382.5,3285418.1,625423.2,1019066.7,
Albania,2000,110662.5,279261.3,173689.7,1009495.2,1499701.7,3382212.6,684987.9,1072395.1,
Albania,2001,36848,284106.9,243721.6,1055137,1579016.2,3288356,157327.7,1090547.8,
Albania,2002,38366.1,288711.1,320226,1442299.6,1800758.5,3378699.6,155630.6,1061701.3,
Albania,2003,46261.5,291234.4,412961.5,1348498.4,1961444.7,3417946.2,160040.1,1148820,
Albania,2004,35864.6,295052.4,439049.7,1082837.9,1832048.5,3290401.1,155630.6,1139311.9,
Albania,2005,41786.9,298376.1,402663.3,1362938.3,2392877.6,3276515.4,156526.4,1234405.4,
Albania,2006,35518.3,302004.8,445950.5,1275083.1,1938942,3183381.3,434130.4,1454012.1,
Albania,2007,34933.8,305793.1,610204.4,1098116.5,2136738.1,3041644.7,625062.9,1338546,
Albania,2008,37457.2,310184.6,630458.2,886360.6,2358410.1,2858686.2,439737.8,1285976.1,
Albania,2009,32503,314800.7,618249.7,844566.7,2389275.1,2769297.6,435409.9,1200329.9,
Albania,2010,33495.9,319805,672741.1,932389.5,2406013.1,2788231.9,436038.8,1435147.2,
Algeria,1990,273231.1,3451401.9,5075801.8,11418018.8,11902595.2,7332476,1009450.4,67932800.9,
Algeria,1991,287113.5,3567590.6,5008512.3,12790856.5,12655611,7106544.7,1009015.7,71282209.7,
Algeria,1992,292432.7,3717938.6,5593467.7,12896911.5,12759691.6,7416329.6,1008576.3,80068851.6,
Algeria,1993,292928.5,3830830.6,5258587.8,13166126.5,13167042.2,7524755,1008132.3,80161240.2,
Algeria,1994,279538.4,3928734.4,4450186.5,12724763.6,12141594.5,7162773.8,1007683.5,78803817.9,
Algeria,1995,276060.1,4028607.6,4096544.6,12348873.4,11919528.7,7071091,1007229.9,85113930.8,
Algeria,1996,273209.8,4128200.5,4205597.1,12141667.5,12202106.9,7160252.2,1006405.7,84745667.7,
Algeria,1997,271347.4,4248009.6,4953212.7,11470233.9,12563032,7000320.7,982060.6,84281903,
Algeria,1998,275499.2,4382435.3,5174017.2,13018572.2,12386459.7,7763636,985455.3,84112373.3,
Algeria,1999,276790,4509063.6,5717308.3,13761665.5,12864119.1,7845153.8,988295.2,87974447.6,
Algeria,2000,285536,4608400.6,6238151.1,13469568.7,13531600.2,7756077.4,1280334.2,87464663.5,
Algeria,2001,288383.2,4711600,6396505.4,13984041,13381280.2,7982922,1248441,83039856.9,
Algeria,2002,352842.1,4845611.2,6755974,14894257.7,13400000,7775194.1,1261107.4,83715799.9,
Algeria,2003,317593.5,4965493.8,6759620.9,15909909.2,14868711.9,8008498,1279578.2,89303420.9,
Algeria,2004,319514.7,5079407.6,7572900.9,17926670.6,15448785.9,8875091.9,1259987.7,85705718.7,
Algeria,2005,325271.2,5199166.9,8330360.6,19741387.5,15981001.5,8234824.5,1318047.9,88699941.2,
Algeria,2006,332452.9,5327733,8436810.1,20153414.6,16441146.3,8661455.9,103722.9,92697124.6,
Algeria,2007,358572.7,5459931.9,10011024.4,21968232.7,18731326.4,8808329,303258.9,90596532.5,
Algeria,2008,361954.4,5594287.6,10484594.9,22881220.4,20011488.9,8411365,113092.2,92941595.3,
Algeria,2009,471125.2,5731082.4,10918628.2,14370463.2,33262469,9415065.3,0,93715222.9,
Algeria,2010,469218.3,5870982.1,12376362.1,14041165.2,33532436.6,9844122.3,6677.4,94712063.8,
American  Samoa,1990,3.2,5860,10710.2,0.8,0,4532.6,13587.2,0,
