CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue
Albania,1971,9131.428547,0,2188650,1.975067608,3713
Albania,1972,10066.84056,0,2241623,2.50190164,3858
Albania,1973,8870.495957,0,2294578,2.29277759,4050
Albania,1974,9035.751131,0,2347607,1.840961677,4065
Albania,1975,9617.452702,0,2400801,1.90400497,4079
Albania,1976,10361.78758,0,2454255,2.007193824,4096
Albania,1977,10742.96673,0,2508026,2.270107456,4114
Albania,1978,11755.82754,0,2562121,2.52306472,4133
Albania,1979,10050.63972,0,2616530,2.886515787,4153
Albania,1980,13369.1048,0,2671300,1.926810702,4182
Albania,1981,11504.39773,0,2725029,2.681698618,4205
Albania,1982,11242.52659,0,2777592,2.618913078,4228
Albania,1983,11631.41901,0,2831682,2.6823048,4252
Albania,1984,11842.40034,0,2891004,2.694719313,4277
Albania,1985,10659.53687,0,2957390,2.654018238,4299
Albania,1986,11210.47298,0,3033393,2.647086311,4326
Albania,1987,10721.6161,0,3116009,2.382928336,4353
Albania,1988,10789.66875,0,3194854,2.289808753,4381
Albania,1989,10425.57118,0,3255859,2.758988658,4414
Albania,1990,9458.163739,0,3289483,1.679333612,4454
Albania,1991,6661.452845,0,3291695,1.307680119,3271
Albania,1992,4864.673504,0,3266983,0.775632316,3143
Albania,1993,4795.96638,0,3224901,0.731747065,3451
Albania,1994,5131.729306,0,3179442,0.612495403,3721
Albania,1995,4850.115224,0,3141102,0.671063135,3992
Albania,1996,5208.482361,1.1,3112597,0.651698387,4294
Albania,1997,4472.839365,0,3091902,0.498714372,3799
Albania,1998,4962.321186,0,3079037,0.564280925,4150
Albania,1999,6701.015643,0,3072725,0.957285587,4723
Albania,2000,6751.154108,0,3071856,0.967061183,5097
Albania,2001,6946.194888,0,3077378,1.031465459,5574
Albania,2002,7676.358055,2,3089778,1.201743235,5883
Albania,2003,7538.198342,0,3106701,1.379150467,6265
Albania,2004,8320.270438,0,3124861,1.343655244,6663
Albania,2005,8368.766317,1.1,3141800,1.380315987,7080
Albania,2006,8220.774912,0,3156607,1.275183338,7545
Albania,2007,7906.792328,0,3169665,1.297706576,8035
