CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,CO2EmsnPerCapita1,GDPPerCapita_2011USDValue1
Afghanistan,2007,0,0,29145841,0.085222257,1447,85.222257,1.447
Albania,2007,7906.792328,0,3169665,1.297706576,8035,1297.706576,8.035
Algeria,2007,12490.61606,0,33906605,3.16034207,12842,3160.34207,12.842
Andorra,2007,0,0,81390,6.514132288,,6514.132288,0
Angola,2007,5461.682943,0,17525367,1.189469315,7173,1189.469315,7.173
Antigua and Barbuda,2007,18581.32435,0,85935,5.132270384,,5132.270384,0
Argentina,2007,21458.49109,2.9,39368066,4.35906766,18226,4359.06766,18.226
Armenia,2007,11311.95551,2.8,3074181,1.741447146,8591,1741.447146,8.591
Australia,2007,68248.87674,0,21119988,19.1159666,45145,19115.9666,45.145
Austria,2007,46747.83368,0.5,8309783,8.906887623,40956,8906.887623,40.956
Azerbaijan,2007,16416.41186,0,8821012,3.491197693,13253,3491.197693,13.253
Bahrain,2007,130653.9967,0,925733,25.84253738,39918,25842.53738,39.918
Bangladesh,2007,2016.722723,0,143956805,0.29744924,2307,297.44924,2.307
Barbados,2007,16888.03187,0,271618,4.832046822,12380,4832.046822,12.38
Belarus,2007,33935.25879,0.1,9728228,6.738475334,14182,6738.475334,14.182
Belgium,2007,62068.88215,0.2,10538758,11.27437484,38292,11274.37484,38.292
Belize,2007,6937.30375,0,293124,1.596209204,,1596.209204,0
Benin,2007,4410.419602,0,8112573,0.510909232,1833,510.909232,1.833
Bhutan,2007,4130.849339,8,688581,0.541556573,,541.556573,0
Bolivia,2007,6524.617131,12.4,9463497,1.289723253,4762,1289.723253,4.762
Bosnia and Herzegovina,2007,16345.12988,0.1,3779034,4.630188638,8394,4630.188638,8.394
Botswana,2007,12110.25036,0,1927540,2.208642436,12678,2208.642436,12.678
Brazil,2007,14335.15756,6.8,189798070,1.868423994,13132,1868.423994,13.132
Bulgaria,2007,31006.87611,1.7,7640283,7.352637659,14014,7352.637659,14.014
Burkina Faso,2007,0,0,15061127,0.115202407,1208,115.202407,1.208
Burundi,2007,0,0,7707781,0.023535775,687,23.535775,0.687
Cambodia,2007,2957.586357,0,13669857,0.252434511,2208,252.434511,2.208
Cameroon,2007,4008.118397,29.3,18350022,0.309965602,2468,309.965602,2.468
Canada,2007,95524.90657,0.2,32977334,17.99338175,42282,17993.38175,42.282
Central African Republic,2007,0,0,4160940,0.059127181,896,59.127181,0.896
Chad,2007,0,0,10371839,0.042843032,1478,42.843032,1.478
Chile,2007,21594.94265,0,16633254,4.287428564,18012,4287.428564,18.012
China,2007,18958.88906,0,1321481935,5.132965331,7563,5132.965331,7.563
Colombia,2007,7414.262687,0,44352327,1.387540282,10592,1387.540282,10.592
Comoros,2007,743.1657367,0,678602,0.159895265,1463,159.895265,1.463
Costa Rica,2007,11999.92419,1.7,4452608,1.806092585,11517,1806.092585,11.517
Cote d'Ivoire,2007,6203.433512,0,18646754,0.342481201,2572,342.481201,2.572
Croatia,2007,26424.99858,0,4425995,5.743855384,21223,5743.855384,21.223
Cuba,2007,10433.78578,0,11268687,2.35298789,6054,2352.98789,6.054
Cyprus,2007,26658.596,0,1063027,7.965138214,29170,7965.138214,29.17
Czech Republic,2007,51974.00889,0,10313525,12.3767363,26707,12376.7363,26.707
Denmark,2007,42130.80116,0,5469130,9.992237102,45508,9992.237102,45.508
Djibouti,2007,2054.714468,0,839453,0.570376648,2359,570.376648,2.359
Dominica,2007,7048.484848,0,68434,2.168964059,8345,2168.964059,8.345
Dominican Republic,2007,8909.444633,4.5,9531954,2.183886918,10602,2183.886918,10.602
Ecuador,2007,8687.016123,8.5,13849721,2.217034663,8876,2217.034663,8.876
El Salvador,2007,8561.818086,4.5,6100868,1.125321904,7596,1125.321904,7.596
Equatorial Guinea,2007,24667.194,0,643936,5.778796542,42173,5778.796542,42.173
Eritrea,2007,2007.449717,0,4798561,0.138204384,,138.204384,0
Estonia,2007,49353.62623,0.5,1342873,14.93346167,24542,14933.46167,24.542
Ethiopia,2007,5624.759359,0,77718436,0.071954632,905,71.954632,0.905
Fiji,2007,7299.990896,0,835267,1.366941922,,1366.941922,0
Finland,2007,81118.04934,0,5290431,12.60012957,40117,12600.12957,40.117
France,2007,47863.5818,0,61744596,6.663848062,37068,6663.848062,37.068
Gabon,2007,29388.48901,0,1423637,2.746009557,16160,2746.009557,16.16
Georgia,2007,9519.747611,13.3,4415956,1.44965849,8146,1449.65849,8.146
Germany,2007,46354.99303,0,82516297,10.47515951,41587,10475.15951,41.587
Ghana,2007,3212.519262,0,22712403,0.42375381,2546,423.75381,2.546
Greece,2007,31805.21036,0.5,11255717,10.06797907,29874,10067.97907,29.874
Grenada,2007,9094.182612,0,103368,2.299152395,,2299.152395,0
Guatemala,2007,7225.43064,0,13358842,0.903026895,6492,903.026895,6.492
