countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Sweden,1800,0,1447,2354189,14.47
United States,1800,0.03716869,1980,6801854,19.8
India,1801,0,862,168907299,8.62
Sweden,1801,0,1435,2354278,14.35
United States,1801,0.03857667,2017,6933517,20.17
Sweden,1802,0,1502,2360724,15.02
United States,1802,0.040954604,2050,7067728,20.5
Sweden,1803,0,1487,2376420,14.87
United States,1803,0.041194036,2015,7204538,20.15
Sweden,1804,0,1390,2393815,13.9
United States,1804,0.045400902,2014,7343995,20.14
Sweden,1805,0,1479,2410798,14.79
United States,1805,0.045517644,2056,7486152,20.56
Sweden,1806,0,1495,2424756,14.95
United States,1806,0.043693007,2094,7631061,20.94
Sweden,1807,0,1433,2431799,14.33
United States,1807,0.048515608,2114,7778775,21.14
Sweden,1808,0,1357,2431251,13.57
United States,1808,0.049442653,1965,7929348,19.65
Sweden,1809,0,1295,2415344,12.95
United States,1809,0.049863686,2062,8082836,20.62
Sweden,1810,0,1399,2428185,13.99
United States,1810,0.050355591,2120,8294928,21.2
India,1811,0,821,172295303,8.21
Sweden,1811,0,1503,2439240,15.03
United States,1811,0.052828721,2163,8461458,21.63
China,1812,0,718,356451049,7.18
Sweden,1812,0,1407,2451606,14.07
United States,1812,0.055995497,2125,8637266,21.25
Sweden,1813,0,1433,2465326,14.33
United States,1813,0.058974939,2149,8822188,21.49
Sweden,1814,0,1444,2480193,14.44
United States,1814,0.062176773,2190,9016100,21.9
Sweden,1815,0,1495,2496182,14.95
United States,1815,0.065181027,2180,9218879,21.8
Sweden,1816,0,1524,2513283,15.24
United States,1816,0.070324073,2092,9430398,20.92
Sweden,1817,0,1480,2531325,14.8
United States,1817,0.074416052,2091,9650391,20.91
Sweden,1818,0,1492,2550203,14.92
United States,1818,0.078998697,2097,9879049,20.97
Sweden,1819,0,1479,2570036,14.79
United States,1819,0.0753369,2092,10116052,20.92
China,1820,0,854,380055273,8.54
Sweden,1820,0,1500,2591521,15
United States,1820,0.076380143,2080,10361646,20.8
India,1821,0,782,176746350,7.82
Sweden,1821,0,1545,2615075,15.45
United States,1821,0.077974279,2113,10619707,21.13
Sweden,1822,0,1552,2639791,15.52
United States,1822,0.079402461,2171,10890141,21.71
Sweden,1823,0,1535,2665075,15.35
United States,1823,0.080673395,2147,11172754,21.47
Sweden,1824,0,1577,2691203,15.77
United States,1824,0.08850551,2205,11467399,22.05
Sweden,1825,0,1619,2718270,16.19
United States,1825,0.096470418,2254,11773972,22.54
Sweden,1826,0,1623,2746137,16.23
United States,1826,0.108778235,2270,12092272,22.7
Sweden,1827,0,1547,2774189,15.47
United States,1827,0.116508087,2279,12422142,22.79
Sweden,1828,0,1574,2801775,15.74
United States,1828,0.124875151,2279,12763468,22.79
Sweden,1829,0,1596,2828833,15.96
United States,1829,0.136882758,2204,13116042,22.04
Sweden,1830,0,1557,2855774,15.57
United States,1830,0.154926464,2364,13480460,23.64
India,1831,0,789,182910827,7.89
Sweden,1831,0,1587,2883180,15.87
United States,1831,0.163314103,2509,13865012,25.09
Sweden,1832,0,1545,2911168,15.45
United States,1832,0.211925381,2600,14263511,26
Sweden,1833,0,1593,2939410,15.93
United States,1833,0.240428859,2691,14675576,26.91
Sweden,1834,0.011112197,1614,2967550,16.14
United States,1834,0.223946435,2562,15101254,25.62
Sweden,1835,0,1608,2995557,16.08
United States,1835,0.27773667,2660,15540591,26.6
Sweden,1836,0,1660,3023380,16.6
United States,1836,0.295758412,2699,15993540,26.99
Sweden,1837,0,1647,3050621,16.47
United States,1837,0.322323194,2614,16460100,26.14
Sweden,1838,0,1621,3077430,16.21
United States,1838,0.296962842,2591,16940409,25.91
Sweden,1839,0.014161987,1639,3104649,16.39
United States,1839,0.316503588,2717,17434191,27.17
Sweden,1840,0.012864791,1662,3132892,16.62
United States,1840,0.327346282,2583,17942443,25.83
India,1841,0,788,190021756,7.88
Sweden,1841,0.012745766,1641,3162148,16.41
United States,1841,0.336370431,2529,18474109,25.29
Sweden,1842,0.025252856,1564,3192035,15.64
United States,1842,0.363604158,2507,19025173,25.07
Sweden,1843,0.018193239,1598,3222296,15.98
United States,1843,0.396115848,2547,19600367,25.47
Sweden,1844,0.030413182,1667,3252800,16.67
United States,1844,0.460944967,2685,20190176,26.85
Sweden,1845,0.026779988,1706,3283646,17.06
United States,1845,0.538694467,2728,20799382,27.28
Sweden,1846,0.024318354,1647,3314698,16.47
United States,1846,0.593169007,2743,21427984,27.43
Sweden,1847,0.024095435,1690,3345364,16.9
United States,1847,0.68264382,2816,22075981,28.16
Sweden,1848,0.041244308,1708,3375787,17.08
United States,1848,0.738007683,2888,22743373,28.88
Sweden,1849,0.056994733,1771,3407192,17.71
United States,1849,0.777677546,2814,23430112,28.14
China,1850,0,684,402711280,6.84
Sweden,1850,0.058571299,1818,3440593,18.18
United States,1850,0.820048381,2825,24136293,28.25
India,1851,0,790,197473224,7.9
Sweden,1851,0.062184709,1782,3476353,17.82
United States,1851,0.990523405,2940,24868743,29.4
Sweden,1852,0.061540406,1744,3512749,17.44
United States,1852,1.046025456,3089,25612348,30.89
Sweden,1853,0.064005969,1767,3549169,17.67
United States,1853,1.143922449,3300,26367214,33
