type,date,Line 1,Line 2,Line 3,Line 4
val1,36526,11.361,40.863,106.118,33.896
val1,36892,9.552,39.713,123.521,32.408
val1,37257,8.576,38.091,137.61,33.204
val1,37622,7.549,35.853,140.896,34.865
val1,37987,6.716,32.109,156.805,36.044
val1,38353,6.312,30.235,164.498,36.149
val1,38718,5.76,27.934,161.806,36.039
val1,39083,5.181,25.183,164.546,35.703
val1,39448,4.922,28.642,180.783,40.183
val1,39814,8.195,35.716,183.53,53.573
val1,40179,10.966,36.073,183.53,61.274
val2,39569,73.17096,73.8,70.86987,71.22524
val2,39600,73.40022,73.6,70.85164,71.10571
val2,39630,73.18956,73.5,70.68008,70.892
val2,39661,73.27032,73.5,70.78835,70.70468
val2,39692,73.1027,73.6,70.80603,70.50166
val2,39722,73.19533,73.5,70.84274,70.36867
val2,39753,72.95339,73.3,70.95702,69.93706
val2,39783,72.81297,73,70.65752,69.56481
val2,39814,72.46693,72.5,70.73147,69.04002
val2,39845,72.51446,72,70.46809,68.75864
val2,39873,72.12102,71.8,70.0565,68.25459
val2,39904,72.31942,71.7,70.01981,68.15527
val2,39934,72.07051,71.5,69.86392,67.79279
val2,39965,71.83347,71.2,69.81618,67.80988
val2,39995,71.84483,71.1,69.76656,67.67518
val2,40026,71.69344,71.1,70.02958,67.29216
val2,40057,71.75568,71.2,70.03351,66.8834
val2,40087,71.76352,71,69.97632,66.61176
val2,40118,71.9547,71.4,69.91604,66.69512
val2,40148,72.00006,71.2,69.9911,66.46241
val2,40179,72.16405,71.3,70.14699,66.76878
val2,40210,72.07063,71.4,70.10736,66.74509
val2,40238,72.01749,71.3,70.07778,66.75923
val2,40269,72.11574,71.6,69.92162,66.86999
val2,40299,71.99252,71.6,69.92286,66.76907
val2,40330,72.27586,71.7,69.87484,66.7173
val2,40360,72.30006,71.7,70.19234,66.6966
val2,40391,72.48346,71.7,70.23014,66.73079
val2,40422,72.63282,71.4,70.37191,66.64181
val2,40452,72.69502,71.6,70.26771,66.44191
val2,40483,72.846,71.7,70.16416,66.39793
val2,40513,72.98971,71.8,70.31656,66.51099
val2,40544,72.89347,72,70.43721,66.68821
val2,40575,72.83181,72,70.66043,66.63231
val2,40603,72.95651,71.9,71.00793,66.70368
val2,40634,72.77982,72,70.99963,66.59103
val2,40664,72.68517,72,71.04446,66.56474
val2,40695,72.80386,72,71.11172,66.41299
val2,40725,72.68908,72.1,70.92947,66.39697
val2,40756,72.65163,72.1,70.92245,66.6134
val2,40787,72.70605,72.1,70.47206,66.68613
val2,40817,72.60508,71.9,70.49169,66.63239
val2,40848,72.51452,71.8,70.57639,66.81437
val2,40878,72.19783,71.9,70.60051,66.8495
val2,40909,72.48839,71.9,70.27213,66.91769
val2,40940,72.2776,71.9,70.37115,66.99259
val2,40969,72.42102,72.1,70.24574,67.01841
val2,41000,72.49939,72.3,70.32284,66.9746
val2,41030,72.56266,72.2,70.3585,67.1202
val2,41061,72.3299,72.2,70.65968,67.11346
val2,41091,72.35701,72.1,70.69147,67.03298
val2,41122,72.22827,72.1,70.66949,66.96553
val2,41153,72.32135,72.3,70.65089,67.29552
val2,41183,72.25543,72.3,70.88633,67.43998
val2,41214,72.2934,72.5,70.94573,67.27721
val2,41244,72.19945,72.7,70.77234,67.30031
val2,41275,72.10005,72.5,71.13177,67.23456
val2,41306,72.40376,72.7,71.1607,67.27918
val2,41334,72.09074,72.4,71.35171,67.26635
val3,39569,107.4,107.1,101.7,110.9
val3,39600,107.7,107.9,102.2,112
val3,39630,107.6,108.2,102.4,112.6
val3,39661,107.4,108.1,102.7,112.2
val3,39692,107.7,108.2,102.7,112
val3,39722,107.6,107,102.6,110.9
val3,39753,107.3,106.7,101.7,108.8
val3,39783,107.1,105.9,101.3,107.6
val3,39814,106.6,105.6,100.7,108.1
val3,39845,107,106.4,100.4,108.7
val3,39873,107.2,106.6,100.7,108.9
val3,39904,107.4,106.5,100.8,109.2
val3,39934,107.7,107.2,100.6,109.5
val3,39965,107.6,107.6,100.4,110.4
val3,39995,107.3,107.2,100.1,110.3
val3,40026,107.7,107.2,100.4,110.5
val3,40057,107.8,107.2,100.4,110.6
val3,40087,107.8,107.1,100,110.7
val3,40118,108,107.7,99.8,110.8
val3,40148,108.2,107.3,99.6,110.6
val3,40179,107.9,107.6,99.7,111
val3,40210,108.1,108.1,99.6,111
val3,40238,109.3,108.1,99.9,111.4
val3,40269,109.6,108.4,100,111.6
val3,40299,109.7,108.7,99.9,111.7
val3,40330,109.7,108.6,99.7,111.6
val3,40360,109.3,109.2,99.1,111.6
val3,40391,109.5,109.1,99.3,111.8
val3,40422,109.8,109.3,99.5,111.9
val3,40452,110.1,109.7,99.8,112
val3,40483,110,109.8,99.5,112
val3,40513,110.7,109.8,99.2,112.2
val3,40544,110.6,110.1,99.1,112.8
val3,40575,111.4,110.4,99.1,113.3
val3,40603,112.7,111.6,99.4,114.4
val3,40634,113.2,112,99.5,115.2
val3,40664,113.3,112.7,99.5,115.7
val3,40695,113.3,112,99.3,115.6
val3,40725,113.1,112.2,99.3,115.7
val3,40756,113.3,112.5,99.5,116
val3,40787,113.8,112.7,99.5,116.2
val3,40817,113.9,112.9,99.6,115.9
val3,40848,114,113,99,115.8
val3,40878,114.2,112.4,99,115.6
val3,40909,113.7,112.8,99.2,116.1
val3,40940,114.2,113.3,99.4,116.6
val3,40969,115.4,113.8,99.9,117.5
val3,41000,115.8,114.2,100,117.8
val3,41030,115.7,114.1,99.7,117.7
val3,41061,115.8,113.7,99.2,117.5
val3,41091,115.5,113.6,98.9,117.3
val3,41122,115.8,113.9,99,118
val3,41153,116.8,114,99.2,118.5
val3,41183,117.1,114.2,99.2,118.4
val3,41214,117.2,114,98.8,117.9
val3,41244,117.4,113.3,98.9,117.6
val3,41275,116.7,113.4,98.9,117.9
val3,41306,117.1,114.7,98.8,118.9
val3,41334,118,114.9,99,119.2
val4,39539,0.322530177,0.487575577,-1.211608,0.329393674
val4,39630,0.719161238,0.687349003,-1.048973498,-0.928590211
val4,39722,-0.714621757,-1.10731091,-3.248118907,-2.300768187
val4,39814,0.948890662,-2.241384557,-4.001615871,-1.338921877
val4,39904,0.005347498,-0.916059149,1.681314514,-0.078672016
val4,39995,0.712367508,0.413730539,0.027603546,0.359814188
val4,40087,0.817646052,1.130675622,1.837807076,0.991629206
val4,40179,0.544772582,1.197893872,1.45349234,0.578726181
val4,40269,0.701573667,0.811817143,1.003532803,0.556087615
val4,40360,0.680793026,0.458490123,1.354243021,0.644413039
val4,40452,0.836913751,1.084675368,-0.364925908,0.592971344
val4,40544,-0.447146488,0.613821371,-1.804990147,0.019725063
val4,40634,1.312298438,-0.20943943,-0.855743258,0.613631882
val4,40725,1.183831041,1.423050254,2.542266842,0.318137613
val4,40817,0.587360864,0.53251806,0.100300377,1.00774786
val4,40909,1.218325343,0.286423072,1.50181406,0.48657094
val4,41000,0.646755403,0.474190407,-0.224074176,0.311704081
val4,41091,0.649948015,0.18293058,-0.928727296,0.767612651
val4,41183,0.595724198,0.152856134,0.038731645,0.094488189
