countryName,year,sector,CO2EmsnKiloTons 
Africa,1961,International bunkersTonnes,0
Africa,1962,International bunkersTonnes,0
Africa,1963,International bunkersTonnes,0
Africa,1964,International bunkersTonnes,0
Africa,1965,International bunkersTonnes,0
Africa,1966,International bunkersTonnes,0
Africa,1967,International bunkersTonnes,0
Africa,1968,International bunkersTonnes,0
Africa,1969,International bunkersTonnes,0
Africa,1970,International bunkersTonnes,0
Africa,1971,International bunkersTonnes,0
Africa,1972,International bunkersTonnes,0
Africa,1973,International bunkersTonnes,0
Africa,1974,International bunkersTonnes,0
Africa,1975,International bunkersTonnes,0
Africa,1976,International bunkersTonnes,0
Africa,1977,International bunkersTonnes,0
Africa,1978,International bunkersTonnes,0
Africa,1979,International bunkersTonnes,0
Africa,1980,International bunkersTonnes,0
Africa,1981,International bunkersTonnes,0
Africa,1982,International bunkersTonnes,0
Africa,1983,International bunkersTonnes,0
Africa,1984,International bunkersTonnes,0
Africa,1985,International bunkersTonnes,0
Africa,1986,International bunkersTonnes,0
Africa,1987,International bunkersTonnes,0
Africa,1988,International bunkersTonnes,0
Africa,1989,International bunkersTonnes,0
Africa,1990,International bunkersTonnes,0
Africa,1991,International bunkersTonnes,0
Africa,1992,International bunkersTonnes,0
Africa,1993,International bunkersTonnes,0
Africa,1994,International bunkersTonnes,0
Africa,1995,International bunkersTonnes,0
Africa,1996,International bunkersTonnes,0
Africa,1997,International bunkersTonnes,0
Africa,1998,International bunkersTonnes,0
Africa,1999,International bunkersTonnes,0
Africa,2000,International bunkersTonnes,0
Africa,2001,International bunkersTonnes,0
Africa,2002,International bunkersTonnes,0
Africa,2003,International bunkersTonnes,0
Africa,2004,International bunkersTonnes,0
Africa,2005,International bunkersTonnes,0
Africa,2006,International bunkersTonnes,0
Africa,2007,International bunkersTonnes,0
Africa,2008,International bunkersTonnes,0
Africa,2009,International bunkersTonnes,0
Africa,2010,International bunkersTonnes,0
Africa,2011,International bunkersTonnes,0
Africa,2012,International bunkersTonnes,0
Africa,2013,International bunkersTonnes,0
Africa,2014,International bunkersTonnes,0
Africa,2030,International bunkersTonnes,0
Africa,2050,International bunkersTonnes,0
Asia,1961,International bunkersTonnes,0
Asia,1962,International bunkersTonnes,0
Asia,1963,International bunkersTonnes,0
Asia,1964,International bunkersTonnes,0
Asia,1965,International bunkersTonnes,0
Asia,1966,International bunkersTonnes,0
Asia,1967,International bunkersTonnes,0
Asia,1968,International bunkersTonnes,0
Asia,1969,International bunkersTonnes,0
Asia,1970,International bunkersTonnes,0
Asia,1971,International bunkersTonnes,0
Asia,1972,International bunkersTonnes,0
Asia,1973,International bunkersTonnes,0
Asia,1974,International bunkersTonnes,0
Asia,1975,International bunkersTonnes,0
Asia,1976,International bunkersTonnes,0
Asia,1977,International bunkersTonnes,0
Asia,1978,International bunkersTonnes,0
Asia,1979,International bunkersTonnes,0
Asia,1980,International bunkersTonnes,0
Asia,1981,International bunkersTonnes,0
Asia,1982,International bunkersTonnes,0
Asia,1983,International bunkersTonnes,0
Asia,1984,International bunkersTonnes,0
Asia,1985,International bunkersTonnes,0
Asia,1986,International bunkersTonnes,0
Asia,1987,International bunkersTonnes,0
Asia,1988,International bunkersTonnes,0
Asia,1989,International bunkersTonnes,0
Asia,1990,International bunkersTonnes,0
Asia,1991,International bunkersTonnes,0
Asia,1992,International bunkersTonnes,0
Asia,1993,International bunkersTonnes,0
Asia,1994,International bunkersTonnes,0
Asia,1995,International bunkersTonnes,0
Asia,1996,International bunkersTonnes,0
Asia,1997,International bunkersTonnes,0
Asia,1998,International bunkersTonnes,0
Asia,1999,International bunkersTonnes,0
Asia,2000,International bunkersTonnes,0
Asia,2001,International bunkersTonnes,0
Asia,2002,International bunkersTonnes,0
Asia,2003,International bunkersTonnes,0
Asia,2004,International bunkersTonnes,0
Asia,2005,International bunkersTonnes,0
Asia,2006,International bunkersTonnes,0
Asia,2007,International bunkersTonnes,0
Asia,2008,International bunkersTonnes,0
Asia,2009,International bunkersTonnes,0
Asia,2010,International bunkersTonnes,0
Asia,2011,International bunkersTonnes,0
Asia,2012,International bunkersTonnes,0
Asia,2013,International bunkersTonnes,0
Asia,2014,International bunkersTonnes,0
Asia,2030,International bunkersTonnes,0
Asia,2050,International bunkersTonnes,0
Australia & New Zealand,1961,International bunkersTonnes,0
Australia & New Zealand,1962,International bunkersTonnes,0
Australia & New Zealand,1963,International bunkersTonnes,0
Australia & New Zealand,1964,International bunkersTonnes,0
Australia & New Zealand,1965,International bunkersTonnes,0
Australia & New Zealand,1966,International bunkersTonnes,0
Australia & New Zealand,1967,International bunkersTonnes,0
Australia & New Zealand,1968,International bunkersTonnes,0
Australia & New Zealand,1969,International bunkersTonnes,0
Australia & New Zealand,1970,International bunkersTonnes,0
Australia & New Zealand,1971,International bunkersTonnes,0
Australia & New Zealand,1972,International bunkersTonnes,0
Australia & New Zealand,1973,International bunkersTonnes,0
Australia & New Zealand,1974,International bunkersTonnes,0
Australia & New Zealand,1975,International bunkersTonnes,0
Australia & New Zealand,1976,International bunkersTonnes,0
Australia & New Zealand,1977,International bunkersTonnes,0
Australia & New Zealand,1978,International bunkersTonnes,0
Australia & New Zealand,1979,International bunkersTonnes,0
Australia & New Zealand,1980,International bunkersTonnes,0
Australia & New Zealand,1981,International bunkersTonnes,0
Australia & New Zealand,1982,International bunkersTonnes,0
Australia & New Zealand,1983,International bunkersTonnes,0
Australia & New Zealand,1984,International bunkersTonnes,0
Australia & New Zealand,1985,International bunkersTonnes,0
Australia & New Zealand,1986,International bunkersTonnes,0
Australia & New Zealand,1987,International bunkersTonnes,0
Australia & New Zealand,1988,International bunkersTonnes,0
Australia & New Zealand,1989,International bunkersTonnes,0
Australia & New Zealand,1990,International bunkersTonnes,0
Australia & New Zealand,1991,International bunkersTonnes,0
Australia & New Zealand,1992,International bunkersTonnes,0
Australia & New Zealand,1993,International bunkersTonnes,0
Australia & New Zealand,1994,International bunkersTonnes,0
Australia & New Zealand,1995,International bunkersTonnes,0
Australia & New Zealand,1996,International bunkersTonnes,0
Australia & New Zealand,1997,International bunkersTonnes,0
Australia & New Zealand,1998,International bunkersTonnes,0
Australia & New Zealand,1999,International bunkersTonnes,0
Australia & New Zealand,2000,International bunkersTonnes,0
Australia & New Zealand,2001,International bunkersTonnes,0
Australia & New Zealand,2002,International bunkersTonnes,0
Australia & New Zealand,2003,International bunkersTonnes,0
Australia & New Zealand,2004,International bunkersTonnes,0
